product,original_price,selling_price,category,source,rating,main_category,discount,price_range
iCare Flip Cover for Universal Rotate 7 inch Tablet,699.0,350.0,"[""Mobiles & Accessories >> Tablet Accessories >> Cases & Covers >> iCare Cases & Covers""]",Flipkart,,Mobiles & Accessories,49.92846924177397,Budget
Shrikant Traders Cotton Bath Towel,2500.0,1499.0,"[""Baby Care >> Baby Bath & Skin >> Baby Bath Towels >> Shrikant Traders Baby Bath Towels""]",Flipkart,,Baby Care,40.04,Mid-Range
Speedwav Tuk Tuk Reverse Gear Safety -Tata Safari Storme 200 dB Vehicle Horn,500.0,278.0,"[""Automotive >> Accessories & Spare parts >> Spares & Performance Parts >> Car Spare Parts >> Vehicle Horns""]",Flipkart,,Automotive,44.4,Budget
MH MDF Photo Frame,999.0,899.0,"[""Baby Care >> Baby & Kids Gifts >> Photo Frames >> MH Photo Frames""]",Flipkart,,Baby Care,10.01001001001001,Economy
Fabutex Polyester Green Motif Eyelet Door Curtain,799.0,499.0,"[""Home Furnishing >> Curtains & Accessories >> Curtains""]",Flipkart,,Home Furnishing,37.546933667083856,Budget
APS Sleeve for iBall 6318i,699.0,250.0,"[""Mobiles & Accessories >> Tablet Accessories >> Cases & Covers >> APS Cases & Covers""]",Flipkart,,Mobiles & Accessories,64.2346208869814,Budget
Status Quo Solid Casual Men's Sweater,1599.0,799.0,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweaters >> Status Quo Sweaters""]",Flipkart,,Clothing,50.03126954346466,Economy
NIKsales 7 W LED Bulb,750.0,365.0,"[""Kitchen & Dining >> Lighting >> Bulbs >> NIKsales Bulbs""]",Flipkart,,Kitchen & Dining,51.33333333333333,Budget
Favourite BikerZ FBZ 37710 95 dB Vehicle Horn,1999.0,1190.0,"[""Automotive >> Accessories & Spare parts >> Spares & Performance Parts >> Car Spare Parts >> Vehicle Horns""]",Flipkart,,Automotive,40.47023511755878,Mid-Range
Ownclique Graphic Print Snapback Cap,2899.0,2349.0,"[""Clothing >> Men's Clothing >> Accessories & Combo Sets >> Caps >> Ownclique Caps""]",Flipkart,,Clothing,18.972059330803724,Mid-Range
ARRA Solid Wood 7 Seater Sofa,41000.0,41000.0,"[""Furniture >> Living Room >> Sofas & Sectionals""]",Flipkart,,Furniture,0.0,Luxury
Alvaro Polka Print Tie,599.0,499.0,"[""Clothing >> Men's Clothing >> Accessories & Combo Sets >> Ties >> Alvaro Ties""]",Flipkart,,Clothing,16.69449081803005,Budget
Speedwav Single Pipe Car Air Pressure -Maruti Kizashi 200 dB Vehicle Horn,1500.0,873.0,"[""Automotive >> Accessories & Spare parts >> Spares & Performance Parts >> Car Spare Parts >> Vehicle Horns""]",Flipkart,,Automotive,41.8,Economy
Shuffle Casual Short Sleeve Solid Women's Top,1499.0,1049.0,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Shuffle Tops""]",Flipkart,,Clothing,30.020013342228154,Mid-Range
Rainz Gold 15 W LED Bulb,749.0,749.0,"[""Kitchen & Dining >> Lighting >> Bulbs >> Rainz Gold Bulbs""]",Flipkart,,Kitchen & Dining,0.0,Economy
casetech Flip Cover for Huawei Honor X1,599.0,249.0,"[""Mobiles & Accessories >> Tablet Accessories >> Cases & Covers >> casetech Cases & Covers""]",Flipkart,,Mobiles & Accessories,58.43071786310517,Budget
ARRA Solid Wood 4 Seater Sofa,57500.0,57500.0,"[""Furniture >> Living Room >> Sofas & Sectionals""]",Flipkart,,Furniture,0.0,Luxury
Indha Craft Cloth Photo Frame,300.0,132.0,"[""Baby Care >> Baby & Kids Gifts >> Photo Frames >> Indha Craft Photo Frames""]",Flipkart,,Baby Care,56.00000000000001,Budget
Alpine Enterprises Solid V-neck Men's Sweater,1299.0,850.0,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweaters >> Alpine Enterprises Sweaters""]",Flipkart,,Clothing,34.565050038491144,Economy
Villcart Marble Ganesha with Chowki and Mouse Painting Showpiece  -  10 cm,370.0,370.0,"[""Home Decor & Festive Needs >> Religion & Devotion >> Villcart Religion & Devotion""]",Flipkart,,Home Decor & Festive Needs,0.0,Budget
Vizio 5 W LED Bulb,999.0,349.0,"[""Kitchen & Dining >> Lighting >> Bulbs >> Vizio Bulbs""]",Flipkart,,Kitchen & Dining,65.06506506506507,Budget
Tradeyard impex Beautiful Alloy Jewel Set,666.0,300.0,"[""Jewellery >> Jewellery Sets""]",Flipkart,,Jewellery,54.95495495495496,Budget
Getabhi Striped Tie,351.0,351.0,"[""Clothing >> Men's Clothing >> Accessories & Combo Sets >> Ties >> Getabhi Ties""]",Flipkart,,Clothing,0.0,Budget
VRCT 5 W LED Bulb,450.0,259.0,"[""Kitchen & Dining >> Lighting >> Bulbs >> VRCT Bulbs""]",Flipkart,,Kitchen & Dining,42.44444444444444,Budget
Reebok Casual Cap,899.0,899.0,"[""Clothing >> Men's Clothing >> Accessories & Combo Sets >> Caps >> Reebok Caps""]",Flipkart,,Clothing,0.0,Economy
Durian Club/3 Leather 3 Seater Sofa,162000.0,105300.0,"[""Furniture >> Living Room >> Sofas & Sectionals""]",Flipkart,,Furniture,35.0,Luxury
Fastway Pouch for Samsung Galaxy Tab3 T210 & T211,499.0,259.0,"[""Mobiles & Accessories >> Tablet Accessories >> Cases & Covers >> Fastway Cases & Covers""]",Flipkart,,Mobiles & Accessories,48.09619238476954,Budget
Home Fashion Gallery Polyester Black Plain Eyelet Door Curtain,2498.0,1499.0,"[""Home Furnishing >> Curtains & Accessories >> Curtains""]",Flipkart,,Home Furnishing,39.9919935948759,Mid-Range
Speedwav Single Pipe Car Air Pressure -Nissan Patrol 200 dB Vehicle Horn,1500.0,873.0,"[""Automotive >> Accessories & Spare parts >> Spares & Performance Parts >> Car Spare Parts >> Vehicle Horns""]",Flipkart,,Automotive,41.8,Economy
ARRA Solid Wood 3 Seater Sofa,14800.0,14800.0,"[""Furniture >> Living Room >> Sofas & Sectionals""]",Flipkart,,Furniture,0.0,Luxury
"UNO COTTON Striped V-neck Wedding, Casual, Party, Formal Men's, Boy's Sweater",1399.0,999.0,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweaters >> UNO COTTON Sweaters""]",Flipkart,,Clothing,28.591851322373124,Economy
Adaa Terracotta - Bulge Green Ganesha Statue - Green Showpiece  -  6 cm,430.0,290.0,"[""Home Decor & Festive Needs >> Showpieces >> Adaa Showpieces""]",Flipkart,,Home Decor & Festive Needs,32.55813953488372,Budget
BabyBucket Cotton Bath Towel,735.0,735.0,"[""Baby Care >> Baby Bath & Skin >> Baby Bath Towels >> BabyBucket Baby Bath Towels""]",Flipkart,,Baby Care,0.0,Economy
Adaa Terracotta - Reclining Ganesha on Sofa - Pink Showpiece  -  11.9 cm,430.0,399.0,"[""Home Decor & Festive Needs >> Showpieces >> Adaa Showpieces""]",Flipkart,,Home Decor & Festive Needs,7.209302325581396,Budget
Being Women Elegant Multicolor Traditional Ethinic Alloy Jewel Set,750.0,148.0,"[""Jewellery >> Jewellery Sets""]",Flipkart,,Jewellery,80.26666666666667,Budget
CrazeVilla Casual Sleeveless Solid Women's Top,1500.0,1199.0,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> CrazeVilla Tops""]",Flipkart,,Clothing,20.066666666666666,Mid-Range
Truk Fit Self Design Truck Cap,2200.0,1100.0,"[""Clothing >> Men's Clothing >> Accessories & Combo Sets >> Caps >> Truk Fit Caps""]",Flipkart,,Clothing,50.0,Mid-Range
Anshul Fashion AF-IK-KS-14 Showpiece  -  17 cm,400.0,299.0,"[""Home Decor & Festive Needs >> Table Decor & Handicrafts >> Showpieces >> Religious Idols >> Anshul Fashion Religious Idols""]",Flipkart,,Home Decor & Festive Needs,25.25,Budget
Utsavi Alloy Jewel Set,999.0,449.0,"[""Jewellery >> Jewellery Sets""]",Flipkart,,Jewellery,55.05505505505506,Budget
Speedwav Single Pipe Car Air Pressure -Chevrolet Aveo 200 dB Vehicle Horn,1500.0,873.0,"[""Automotive >> Accessories & Spare parts >> Spares & Performance Parts >> Car Spare Parts >> Vehicle Horns""]",Flipkart,,Automotive,41.8,Economy
Global Ganesha Lord Ganesha Showpiece  -  15.24 cm,500.0,500.0,"[""Home Decor & Festive Needs >> Table Decor & Handicrafts >> Showpieces >> Religious Idols >> Global Ganesha Religious Idols""]",Flipkart,,Home Decor & Festive Needs,0.0,Budget
Handloomhub Polyester Baby Pink Self Design Eyelet Long Door Curtain,1899.0,1199.0,"[""Home Furnishing >> Curtains & Accessories >> Curtains""]",Flipkart,,Home Furnishing,36.86150605581886,Mid-Range
Blush Collections Alloy Jewel Set,899.0,225.0,"[""Jewellery >> Jewellery Sets""]",Flipkart,,Jewellery,74.972191323693,Budget
Speedwav Car Loud Hooter Dog -Nissan Micra 200 dB Vehicle Horn,900.0,778.0,"[""Automotive >> Accessories & Spare parts >> Spares & Performance Parts >> Car Spare Parts >> Vehicle Horns""]",Flipkart,,Automotive,13.555555555555557,Economy
Minda Black Current BC-64 1000 dB Vehicle Horn,1499.0,998.0,"[""Automotive >> Accessories & Spare parts >> Spares & Performance Parts >> Car Spare Parts >> Vehicle Horns""]",Flipkart,,Automotive,33.42228152101401,Economy
Durian Fabric 1 Seater Sofa,30600.0,19890.0,"[""Furniture >> Living Room >> Sofas & Sectionals""]",Flipkart,,Furniture,35.0,Luxury
Dglowing Party Sleeveless Embellished Women's Top,1999.0,1499.0,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Dglowing Tops""]",Flipkart,,Clothing,25.012506253126567,Mid-Range
Peter England Striped Round Neck Casual Men's Sweater,1599.0,799.0,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweaters >> Peter England Sweaters""]",Flipkart,,Clothing,50.03126954346466,Economy
Durian BID/32625/A/2 Leatherette 2 Seater Sofa,18800.0,12220.0,"[""Furniture >> Living Room >> Sofas & Sectionals""]",Flipkart,,Furniture,35.0,Luxury
Shivi's Designer Studio Casual Full Sleeve Printed Women's Top,1895.0,1295.0,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Shivi's Designer Studio Tops""]",Flipkart,,Clothing,31.6622691292876,Mid-Range
Durian Georgia Leatherette 1 Seater Sofa,31200.0,20280.0,"[""Furniture >> Living Room >> Sofas & Sectionals""]",Flipkart,,Furniture,35.0,Luxury
Beora Angle Wings Alloy Jewel Set,1199.0,349.0,"[""Jewellery >> Jewellery Sets""]",Flipkart,,Jewellery,70.89241034195163,Budget
Bharat 5 W LED Super Power Bulb,1100.0,490.0,"[""Kitchen & Dining >> Lighting >> Bulbs >> Bharat Bulbs""]",Flipkart,,Kitchen & Dining,55.45454545454545,Budget
Allen Solly Casual Short Sleeve Printed Women's Top,1699.0,1019.0,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Allen Solly Tops""]",Flipkart,,Clothing,40.02354326074161,Mid-Range
Uniross HYB 210 9V BT Ready to Use  Camera Battery Charger,500.0,444.0,"[""Cameras & Accessories >> Camera Accessories >> Battery chargers >> Uniross Battery chargers""]",Flipkart,,Cameras & Accessories,11.200000000000001,Budget
Speedwav Bike Loud Hooter Dog -Hero Hunk 200 dB Vehicle Horn,900.0,778.0,"[""Automotive >> Accessories & Spare parts >> Spares & Performance Parts >> Car Spare Parts >> Vehicle Horns""]",Flipkart,,Automotive,13.555555555555557,Economy
Camelion BC-1012  Camera Battery Charger,1595.0,1276.0,"[""Cameras & Accessories >> Camera Accessories >> Battery chargers >> Camelion Battery chargers""]",Flipkart,,Cameras & Accessories,20.0,Mid-Range
Crazora Casual Printed Women's Kurti,1099.0,499.0,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Kurtas & Kurtis >> Kurtis >> Crazora Kurtis""]",Flipkart,,Clothing,54.5950864422202,Budget
Vinayak Gold Nose Stud,1595.0,695.0,"[""Jewellery >> Nose Rings & Studs""]",Flipkart,,Jewellery,56.42633228840125,Economy
Flora Casual Self Design Women's Kurti,999.0,425.0,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Kurtas & Kurtis >> Kurtis >> Flora Kurtis""]",Flipkart,,Clothing,57.45745745745746,Budget
"Simoco 7 W, 9 W, 12 W LED Bulb",897.0,829.0,"[""Kitchen & Dining >> Lighting >> Bulbs >> Simoco Bulbs""]",Flipkart,,Kitchen & Dining,7.58082497212932,Economy
Wrangler Casual Short Sleeve Printed Women's Top,1095.0,1095.0,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Wrangler Tops""]",Flipkart,,Clothing,0.0,Mid-Range
Neyth Cotton Set of Towels,300.0,170.0,"[""Baby Care >> Baby Bath & Skin >> Baby Bath Towels >> Neyth Baby Bath Towels""]",Flipkart,,Baby Care,43.333333333333336,Budget
Type R G103 110 dB Vehicle Horn,800.0,449.0,"[""Automotive >> Accessories & Spare parts >> Spares & Performance Parts >> Car Spare Parts >> Vehicle Horns""]",Flipkart,,Automotive,43.875,Budget
JLRS Bumper Case for HP Slate 6 Voice Tab|HP Slate 6 Voice Tab,699.0,449.0,"[""Mobiles & Accessories >> Tablet Accessories >> Cases & Covers >> JLRS Cases & Covers""]",Flipkart,,Mobiles & Accessories,35.7653791130186,Budget
GAURA Printed Women's Kurti,1099.0,499.0,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Kurtas & Kurtis >> Kurtis >> GAURA Kurtis""]",Flipkart,,Clothing,54.5950864422202,Budget
ecomradhikas Casual Printed Women's Kurti,1200.0,490.0,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Kurtas & Kurtis >> Kurtis >> ecomradhikas Kurtis""]",Flipkart,,Clothing,59.166666666666664,Budget
Vero Moda Casual Sleeveless Printed Women's Top,1295.0,1295.0,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Vero Moda Tops""]",Flipkart,,Clothing,0.0,Mid-Range
Tiny Seed Woolen Cap Cap,1000.0,625.0,"[""Clothing >> Men's Clothing >> Accessories & Combo Sets >> Caps >> Tiny Seed Caps""]",Flipkart,,Clothing,37.5,Economy
Alvaro Solid Tie,799.0,599.0,"[""Clothing >> Men's Clothing >> Accessories & Combo Sets >> Ties >> Alvaro Ties""]",Flipkart,,Clothing,25.03128911138924,Economy
AsiaCraft Goddess of Wealth Laxmi Brass Statue Showpiece  -  7.62 cm,385.0,350.0,"[""Home Decor & Festive Needs >> Table Decor & Handicrafts >> Showpieces >> Religious Idols >> AsiaCraft Religious Idols""]",Flipkart,,Home Decor & Festive Needs,9.090909090909092,Budget
"Galaxy 12 W, 15 W LED Bulb",900.0,399.0,"[""Kitchen & Dining >> Lighting >> Bulbs >> Galaxy Bulbs""]",Flipkart,,Kitchen & Dining,55.666666666666664,Budget
Ocean Free Sponge Aquarium Filter,300.0,199.0,"[""Pet Supplies >> Habitat >> Habitat Essentials >> Aquarium Filters""]",Flipkart,,Pet Supplies,33.666666666666664,Budget
Amour Alloy Jewel Set,1200.0,299.0,"[""Jewellery >> Jewellery Sets""]",Flipkart,,Jewellery,75.08333333333333,Budget
Xtreme MB Windtone For Honda Dream Yuga 110 dB Vehicle Horn,799.0,341.0,"[""Automotive >> Accessories & Spare parts >> Spares & Performance Parts >> Car Spare Parts >> Vehicle Horns""]",Flipkart,,Automotive,57.32165206508135,Budget
Creativity Centre Ganesha Idol Doorhanging Wallhanging Showpiece  -  28 cm,349.0,339.0,"[""Home Decor & Festive Needs >> Showpieces >> Creativity Centre Showpieces""]",Flipkart,,Home Decor & Festive Needs,2.865329512893983,Budget
Zinc Sports Sleeveless Solid Women's Top,1599.0,1199.0,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Zinc Tops""]",Flipkart,,Clothing,25.01563477173233,Mid-Range
HomeTown CIAZ Fabric 3 Seater Sectional,37900.0,14900.0,"[""Furniture >> Living Room >> Sofas & Sectionals""]",Flipkart,,Furniture,60.68601583113457,Luxury
Favourite BikerZ FBZ 6460 110 dB Vehicle Horn,788.0,499.0,"[""Automotive >> Accessories & Spare parts >> Spares & Performance Parts >> Car Spare Parts >> Vehicle Horns""]",Flipkart,,Automotive,36.6751269035533,Budget
"Estyle Casual, Festive, Wedding Solid Women's Kurti",830.0,345.0,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Kurtas & Kurtis >> Kurtis >> Estyle Kurtis""]",Flipkart,,Clothing,58.43373493975904,Budget
Furnstyl Maxwell Fabric 1 Seater Sofa,25000.0,18000.0,"[""Furniture >> Living Room >> Sofas & Sectionals""]",Flipkart,,Furniture,28.000000000000004,Luxury
Soy Impulse LED Bulb,699.0,299.0,"[""Kitchen & Dining >> Lighting >> Bulbs >> Soy Impulse Bulbs""]",Flipkart,,Kitchen & Dining,57.224606580829764,Budget
Kanu Flip Cover for Huawei MediaPad X2,599.0,329.0,"[""Mobiles & Accessories >> Tablet Accessories >> Cases & Covers >> Kanu Cases & Covers""]",Flipkart,,Mobiles & Accessories,45.07512520868113,Budget
Durian Harmony/2 Fabric 2 Seater Sofa,85500.0,55575.0,"[""Furniture >> Living Room >> Sofas & Sectionals""]",Flipkart,,Furniture,35.0,Luxury
Speedwav 77880 95 dB Vehicle Horn,2500.0,1123.0,"[""Automotive >> Accessories & Spare parts >> Spares & Performance Parts >> Car Spare Parts >> Vehicle Horns""]",Flipkart,,Automotive,55.08,Mid-Range
Darcey Casual Printed Women's Kurti,1699.0,399.0,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Kurtas & Kurtis >> Kurtis >> Darcey Kurtis""]",Flipkart,,Clothing,76.51559741024133,Budget
Fab Rajasthan Unique Arts Casual Printed Women's Kurti,1099.0,399.0,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Kurtas & Kurtis >> Kurtis >> Fab Rajasthan Unique Arts Kurtis""]",Flipkart,,Clothing,63.69426751592356,Budget
Vinayak Pearl Gold Nose Stud,1350.0,650.0,"[""Jewellery >> Nose Rings & Studs""]",Flipkart,,Jewellery,51.85185185185185,Economy
Alvaro Self Design Tie,599.0,499.0,"[""Clothing >> Men's Clothing >> Accessories & Combo Sets >> Ties >> Alvaro Ties""]",Flipkart,,Clothing,16.69449081803005,Budget
Quechua Solid Turtle Neck Casual Men's Sweater,799.0,699.0,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweaters >> Quechua Sweaters""]",Flipkart,,Clothing,12.51564455569462,Economy
Gaura Printed Women's Kurti,1099.0,499.0,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Kurtas & Kurtis >> Kurtis >> Gaura Kurtis""]",Flipkart,,Clothing,54.5950864422202,Budget
Orient 7 W LED Bulb,375.0,242.0,"[""Kitchen & Dining >> Lighting >> Bulbs >> Orient Bulbs""]",Flipkart,,Kitchen & Dining,35.46666666666667,Budget
ARRA Solid Wood 6 Seater Sofa,68400.0,68400.0,"[""Furniture >> Living Room >> Sofas & Sectionals""]",Flipkart,,Furniture,0.0,Luxury
My Design Alloy 8K White Gold Bangle Set,1500.0,669.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,55.400000000000006,Economy
The Jewelbox Brass Yellow Gold Cuff,1293.0,517.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,60.015467904099,Economy
"Solah Shringar Brass, Lac Bangle Set",1299.0,599.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,53.88760585065435,Economy
Zaveri Pearls Zinc 18K Yellow Gold Bangle,1890.0,590.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,68.78306878306879,Economy
Zeneme Alloy Cubic Zirconia Yellow Gold Bangle Set,2999.0,699.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,76.69223074358119,Economy
Kuhuk Plastic Bangle Set,2000.0,660.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,67.0,Economy
Xtreme MB Windtone For Bajaj Pulsar 110 dB Vehicle Horn,699.0,349.0,"[""Automotive >> Accessories & Spare parts >> Spares & Performance Parts >> Car Spare Parts >> Vehicle Horns""]",Flipkart,,Automotive,50.07153075822603,Budget
Gmi Casual Solid Women's Kurti,1199.0,499.0,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Kurtas & Kurtis >> Kurtis >> Gmi Kurtis""]",Flipkart,,Clothing,58.381984987489574,Budget
Urthn Alloy Bangle Set,2475.0,745.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,69.8989898989899,Economy
YouBella Alloy Bangle Set,1999.0,699.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,65.03251625812906,Economy
Durian BID/32625/A/3 Leatherette 3 Seater Sofa,27200.0,17680.0,"[""Furniture >> Living Room >> Sofas & Sectionals""]",Flipkart,,Furniture,35.0,Luxury
Eira Casual Printed Women's Kurti,1499.0,499.0,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Kurtas & Kurtis >> Kurtis >> Eira Kurtis""]",Flipkart,,Clothing,66.711140760507,Budget
BAFNA GEMS & JEWELS Gold Nose Stud,749.0,749.0,"[""Jewellery >> Nose Rings & Studs""]",Flipkart,,Jewellery,0.0,Economy
Vglit 7 W LED Bulb,1500.0,419.0,"[""Kitchen & Dining >> Lighting >> Bulbs >> Vglit Bulbs""]",Flipkart,,Kitchen & Dining,72.06666666666666,Budget
The Jewelbox Brass Brass Bangle,1725.0,690.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,60.0,Economy
Rubera Alloy Yellow Gold Bangle Set,1500.0,695.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,53.666666666666664,Economy
Imit Jewel Copper Cubic Zirconia Yellow Gold Bangle Set,3250.0,995.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,69.38461538461539,Economy
Aarbee Striped V-neck Casual Men's Sweater,849.0,649.0,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweaters >> Aarbee Sweaters""]",Flipkart,,Clothing,23.557126030624264,Economy
Vatsalya Creation Alloy Jewel Set,750.0,350.0,"[""Jewellery >> Jewellery Sets""]",Flipkart,,Jewellery,53.333333333333336,Budget
Durian Leather 2 Seater Sofa,204600.0,132990.0,"[""Furniture >> Living Room >> Sofas & Sectionals""]",Flipkart,,Furniture,35.0,Luxury
InnovationTheStore Solid Basic Cap Cap,1499.0,1199.0,"[""Clothing >> Men's Clothing >> Accessories & Combo Sets >> Caps >> InnovationTheStore Caps""]",Flipkart,,Clothing,20.0133422281521,Mid-Range
Studio 9 Stylish Women Heels,1899.0,949.0,"[""Footwear >> Women's Footwear >> Heels""]",Flipkart,,Footwear,50.026329647182735,Economy
Urban Woods White Women Heels,1199.0,599.0,"[""Footwear >> Women's Footwear >> Heels""]",Flipkart,,Footwear,50.0417014178482,Economy
Voylla Alloy Zircon Yellow Gold Bangle Set,1339.0,525.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,60.7916355489171,Economy
Excellent4U Cotton Baby Towel,800.0,274.0,"[""Baby Care >> Baby Bath & Skin >> Baby Bath Towels >> Excellent4U Baby Bath Towels""]",Flipkart,,Baby Care,65.75,Budget
Speedwav Tuk Tuk Reverse Gear Safety -Tata Aria 200 dB Vehicle Horn,500.0,278.0,"[""Automotive >> Accessories & Spare parts >> Spares & Performance Parts >> Car Spare Parts >> Vehicle Horns""]",Flipkart,,Automotive,44.4,Budget
Duke Striped Casual Men's Sweater,1395.0,999.0,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweaters >> Duke Sweaters""]",Flipkart,,Clothing,28.387096774193548,Economy
My Design Alloy 8K Yellow Gold Bangle Set,1800.0,849.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,52.83333333333333,Economy
Sanayacollection Alloy Bangle,2045.0,925.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,54.76772616136919,Economy
Faith Leenise 1000120 Women Heels,3190.0,955.0,"[""Footwear >> Women's Footwear >> Heels""]",Flipkart,,Footwear,70.0626959247649,Economy
Cocovey Metal Photo Frame,749.0,549.0,"[""Baby Care >> Baby & Kids Gifts >> Photo Frames >> Cocovey Photo Frames""]",Flipkart,,Baby Care,26.702269692923895,Economy
"Pissara Alloy Cubic Zirconia Rhodium, 18K Yellow Gold Bangle Set",2163.0,649.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,69.99537679149329,Economy
Classique Solid Tie,699.0,499.0,"[""Clothing >> Men's Clothing >> Accessories & Combo Sets >> Ties >> Classique Ties""]",Flipkart,,Clothing,28.612303290414882,Budget
Speedwav Tuk Tuk Reverse Gear Safety -Ford Ikon 200 dB Vehicle Horn,500.0,278.0,"[""Automotive >> Accessories & Spare parts >> Spares & Performance Parts >> Car Spare Parts >> Vehicle Horns""]",Flipkart,,Automotive,44.4,Budget
Shooz Women Heels,1995.0,995.0,"[""Footwear >> Women's Footwear >> Heels""]",Flipkart,,Footwear,50.125313283208015,Economy
Jojo Book Cover for ZTE V9,590.0,285.0,"[""Mobiles & Accessories >> Tablet Accessories >> Cases & Covers >> Jojo Cases & Covers""]",Flipkart,,Mobiles & Accessories,51.69491525423729,Budget
Anjan Brass Cubic Zirconia Yellow Gold Bangle Set,2799.0,999.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,64.30868167202573,Economy
The Jewelbox Brass Cubic Zirconia Rhodium Bangle,1545.0,618.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,60.0,Economy
Habbana Party Sleeveless Solid Women's Top,1525.0,1225.0,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Habbana Tops""]",Flipkart,,Clothing,19.672131147540984,Mid-Range
ARRA Solid Wood 2 Seater Sofa,19900.0,19900.0,"[""Furniture >> Living Room >> Sofas & Sectionals""]",Flipkart,,Furniture,0.0,Luxury
IPP 3 W LED Bulb,700.0,253.0,"[""Kitchen & Dining >> Lighting >> Bulbs >> IPP Bulbs""]",Flipkart,,Kitchen & Dining,63.857142857142854,Budget
Xtreme MB Windtone For Royal Enfield Electra EFI39 110 dB Vehicle Horn,699.0,349.0,"[""Automotive >> Accessories & Spare parts >> Spares & Performance Parts >> Car Spare Parts >> Vehicle Horns""]",Flipkart,,Automotive,50.07153075822603,Budget
"Estyle Casual, Festive, Wedding Printed Women's Kurti",1199.0,395.0,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Kurtas & Kurtis >> Kurtis >> Estyle Kurtis""]",Flipkart,,Clothing,67.05587989991659,Budget
Durian Laze/3 Leather 3 Seater Sofa,217500.0,141375.0,"[""Furniture >> Living Room >> Sofas & Sectionals""]",Flipkart,,Furniture,35.0,Luxury
Muchmore Alloy Crystal 18K Yellow Gold Bangle,2499.0,899.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,64.02561024409763,Economy
The Jewelbox Brass Cubic Zirconia Yellow Gold Bangle,1690.0,676.0,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",Flipkart,,Jewellery,60.0,Economy
